sce_name,target_year,bus,type,area_km2,oly_field,rel,onshore
clever,2030,BG1 1,urban area,2594.124377889428,363323.0,4.6111828024569705,True
clever,2030,CZ1 0,H2 Electrolysis,0.012360180946233543,2.0,3.398064592889898e-05,True
clever,2030,CZ1 0,H2 Store,1.1479264693143553e-07,0.0,3.155882836656103e-10,True
clever,2030,CZ1 0,grid,8.650763155442338,1212.0,0.023782703592978346,True
clever,2030,CZ1 0,onwind,476.78539427212564,66777.0,1.3107798127962356,True
clever,2030,CZ1 0,protected area,4774.038913773315,668633.0,13.124801868628833,True
clever,2030,CZ1 0,solar,20.761684792033744,2908.0,0.05707808509231311,True
clever,2030,CZ1 0,solar rooftop,31.579707438446647,4423.0,0.0868190248728578,True
clever,2030,CZ1 0,urban area,2514.568913773317,352181.0,6.913060277550786,True
clever,2030,CZ1 1,H2 Electrolysis,0.01659335391012079,2.0,3.9168436004324e-05,True
